subject,file,link,lineno,PAR,experience-based,statistics-based,tuning machine,smell
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/eval_sentence_predictions.py,https://github.com/karpathy/neuraltalk/blame/master/eval_sentence_predictions.py#L16,16,1,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/py_caffe_feat_extract.py,https://github.com/karpathy/neuraltalk/blame/master/py_caffe_feat_extract.py#L14,14,4,0,1,0,True
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/py_caffe_feat_extract.py,https://github.com/karpathy/neuraltalk/blame/master/py_caffe_feat_extract.py#L34,34,1,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/py_caffe_feat_extract.py,https://github.com/karpathy/neuraltalk/blame/master/py_caffe_feat_extract.py#L47,47,3,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/py_caffe_feat_extract.py,https://github.com/karpathy/neuraltalk/blame/master/py_caffe_feat_extract.py#L100,100,3,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/py_caffe_feat_extract.py,https://github.com/karpathy/neuraltalk/blame/master/py_caffe_feat_extract.py#L131,131,1,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/py_caffe_feat_extract.py,https://github.com/karpathy/neuraltalk/blame/master/py_caffe_feat_extract.py#L158,158,3,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/driver.py,https://github.com/karpathy/neuraltalk/blame/master/driver.py#L16,16,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/driver.py,https://github.com/karpathy/neuraltalk/blame/master/driver.py#L58,58,4,0,1,0,True
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/driver.py,https://github.com/karpathy/neuraltalk/blame/master/driver.py#L117,117,1,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/driver.py,https://github.com/karpathy/neuraltalk/blame/master/driver.py#L155,155,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/predict_on_images.py,https://github.com/karpathy/neuraltalk/blame/master/predict_on_images.py#L29,29,1,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/python_features/extract_features.py,https://github.com/karpathy/neuraltalk/blame/master/python_features/extract_features.py#L34,34,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/python_features/extract_features.py,https://github.com/karpathy/neuraltalk/blame/master/python_features/extract_features.py#L47,47,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/solver.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/solver.py#L11,11,1,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/solver.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/solver.py#L15,15,5,1,1,1,True
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/solver.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/solver.py#L89,89,5,1,1,1,True
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/generic_batch_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/generic_batch_generator.py#L7,7,1,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/generic_batch_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/generic_batch_generator.py#L22,22,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/generic_batch_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/generic_batch_generator.py#L52,52,4,0,1,0,True
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/generic_batch_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/generic_batch_generator.py#L104,104,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/generic_batch_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/generic_batch_generator.py#L138,138,4,0,1,0,True
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/lstm_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/lstm_generator.py#L11,11,3,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/lstm_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/lstm_generator.py#L26,26,5,1,1,1,True
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/lstm_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/lstm_generator.py#L121,121,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/lstm_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/lstm_generator.py#L193,193,5,1,1,1,True
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/lstm_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/lstm_generator.py#L212,212,3,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/lstm_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/lstm_generator.py#L290,290,1,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/utils.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/utils.py#L4,4,1,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/utils.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/utils.py#L8,8,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/utils.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/utils.py#L16,16,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/utils.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/utils.py#L20,20,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/data_provider.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/data_provider.py#L9,9,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/data_provider.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/data_provider.py#L38,38,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/data_provider.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/data_provider.py#L48,48,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/data_provider.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/data_provider.py#L55,55,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/data_provider.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/data_provider.py#L62,62,1,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/data_provider.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/data_provider.py#L74,74,1,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/data_provider.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/data_provider.py#L83,83,1,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/data_provider.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/data_provider.py#L98,98,1,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/data_provider.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/data_provider.py#L103,103,1,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/data_provider.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/data_provider.py#L113,113,1,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/imagernn_utils.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/imagernn_utils.py#L4,4,1,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/imagernn_utils.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/imagernn_utils.py#L12,12,6,1,1,1,True
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/rnn_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/rnn_generator.py#L13,13,3,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/rnn_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/rnn_generator.py#L31,31,5,1,1,1,True
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/rnn_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/rnn_generator.py#L118,118,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/rnn_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/rnn_generator.py#L177,177,5,1,1,1,True
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/rnn_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/rnn_generator.py#L272,272,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools.py,https://github.com/deepfakes/faceswap/blame/master/tools.py#L18,18,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools.py,https://github.com/deepfakes/faceswap/blame/master/tools.py#L24,24,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/faceswap.py,https://github.com/deepfakes/faceswap/blame/master/faceswap.py#L17,17,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/faceswap.py,https://github.com/deepfakes/faceswap/blame/master/faceswap.py#L24,24,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/update_deps.py,https://github.com/deepfakes/faceswap/blame/master/update_deps.py#L12,12,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/update_deps.py,https://github.com/deepfakes/faceswap/blame/master/update_deps.py#L20,20,0,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L29,29,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L37,37,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L87,87,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L95,95,2,0,0,0,False
