subject,file,link,lineno,NOC,NOL,experience-based,statistics-based,tuning machine,smell
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/lstm_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/lstm_generator.py#L69,69,34,1,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/lstm_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/lstm_generator.py#L250,250,21,1,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/rnn_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/rnn_generator.py#L78,78,31,1,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/rnn_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/rnn_generator.py#L205,205,21,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L303,303,71,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L460,460,68,2,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L468,468,58,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L482,482,58,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L510,510,66,2,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L578,578,59,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L580,580,55,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L608,608,67,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/mask/mask.py,https://github.com/deepfakes/faceswap/blame/master/tools/mask/mask.py#L49,49,49,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/mask/mask.py,https://github.com/deepfakes/faceswap/blame/master/tools/mask/mask.py#L137,137,41,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/mask/mask.py,https://github.com/deepfakes/faceswap/blame/master/tools/mask/mask.py#L140,140,72,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/mask/mask.py,https://github.com/deepfakes/faceswap/blame/master/tools/mask/mask.py#L272,272,70,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/mask/mask.py,https://github.com/deepfakes/faceswap/blame/master/tools/mask/mask.py#L297,297,41,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/effmpeg/effmpeg.py,https://github.com/deepfakes/faceswap/blame/master/tools/effmpeg/effmpeg.py#L338,338,45,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/effmpeg/effmpeg.py,https://github.com/deepfakes/faceswap/blame/master/tools/effmpeg/effmpeg.py#L352,352,45,1,0,0,0,False
